recommendation_id,recommendation,specification,acceptance_id
REC-WEB-022,Ensure sDK exposes documented subpath exports without private deep imports,OMNIUS-027,AC-WEB-022
REC-WEB-023,Ensure client factory supports relative and explicit base URLs plus injectable fetch,OMNIUS-027,AC-WEB-023
REC-WEB-024,"Ensure expected RFC 9457 problems retain typed codes, fields, status, and request IDs",OMNIUS-027,AC-WEB-024
REC-WEB-025,"Ensure retries are restricted by method, error class, and idempotency policy",OMNIUS-027,AC-WEB-025
REC-WEB-026,Ensure generated query keys are stable and exported through key factories,OMNIUS-027,AC-WEB-026
REC-WEB-027,Ensure cancellation propagates from Query to fetch through AbortSignal,OMNIUS-027,AC-WEB-027
REC-WEB-028,Ensure semantic wrappers exist only where they add lifecycle or product meaning,OMNIUS-027,AC-WEB-028
REC-WEB-029,"Ensure generated code is derived, isolated, and never hand edited",OMNIUS-027,AC-WEB-029
REC-WEB-030,Ensure sDK exposes the contract hash against which it was generated,OMNIUS-027,AC-WEB-030
REC-WEB-031,Ensure session authentication works without exposing the session secret to JavaScript,OMNIUS-028,AC-WEB-031
REC-WEB-032,"Ensure login, privilege elevation, logout, and logout-all execute the defined cache and realtime lifecycle",OMNIUS-028,AC-WEB-032
REC-WEB-033,Ensure cookie-authenticated unsafe requests pass and fail the approved CSRF negative matrix,OMNIUS-028,AC-WEB-033
REC-WEB-034,Ensure expired and revoked sessions produce stable typed handling without reconnect loops,OMNIUS-028,AC-WEB-034
REC-WEB-035,Ensure cross-tab login or logout convergence carries no credential material,OMNIUS-028,AC-WEB-035
REC-WEB-036,Ensure bearer refresh is single-flight and cannot enter an infinite refresh loop,OMNIUS-028,AC-WEB-036
REC-WEB-037,Ensure oIDC return destinations are restricted to approved locations,OMNIUS-028,AC-WEB-037
REC-WEB-038,Ensure frontend permission controls are presentation-only and direct backend denial is tested,OMNIUS-028,AC-WEB-038
REC-WEB-039,"Ensure tenant changes isolate cached resources, route state, local state, and subscriptions",OMNIUS-028,AC-WEB-039
REC-WEB-040,Ensure protected route prerequisites avoid content flash and redirect loops,OMNIUS-028,AC-WEB-040
REC-WEB-041,Ensure realtime messages derive from AsyncAPI and reject unknown versions safely,OMNIUS-029,AC-WEB-041
REC-WEB-042,Ensure webSocket client reconnects with bounded jitter and resubscribes exactly once,OMNIUS-029,AC-WEB-042
REC-WEB-043,Ensure sSE client resumes with the documented cursor and tolerates duplicates,OMNIUS-029,AC-WEB-043
REC-WEB-044,Ensure authentication failure reaches a terminal or revalidation state without reconnect storm,OMNIUS-029,AC-WEB-044
REC-WEB-045,Ensure session and permission events trigger authoritative HTTP revalidation,OMNIUS-029,AC-WEB-045
REC-WEB-046,Ensure event-to-query effects use generated scoped query-key factories,OMNIUS-029,AC-WEB-046
REC-WEB-047,Ensure direct cache patching is limited to validated complete and version-compatible payloads,OMNIUS-029,AC-WEB-047
REC-WEB-048,Ensure tenant and principal changes re-establish only authorized subscriptions,OMNIUS-029,AC-WEB-048
REC-WEB-049,Ensure server drain and client disposal close transports without leaked handlers,OMNIUS-029,AC-WEB-049
REC-WEB-050,Ensure actual-browser tests exercise Axum WebSocket and SSE transports,OMNIUS-029,AC-WEB-050
REC-WEB-051,Ensure axum serves fingerprinted Vite assets through battle-tested middleware,OMNIUS-030,AC-WEB-051
REC-WEB-052,Ensure fingerprinted assets are immutable while the application shell is revalidated,OMNIUS-030,AC-WEB-052
REC-WEB-053,Ensure sPA fallback serves valid deep links and never swallows backend namespace 404 responses,OMNIUS-030,AC-WEB-053
REC-WEB-054,"Ensure static delivery rejects traversal and does not expose source, environment, or build-secret files",OMNIUS-030,AC-WEB-054
REC-WEB-055,"Ensure content types, validators, and precompressed negotiation are correct",OMNIUS-030,AC-WEB-055
REC-WEB-056,Ensure production CSP omits unsafe-eval and the full security-header policy is tested,OMNIUS-030,AC-WEB-056
REC-WEB-057,Ensure source-map publication follows an explicit non-public default policy,OMNIUS-030,AC-WEB-057
REC-WEB-058,"Ensure vite development proxy supports HTTP, WebSocket, and unbuffered SSE",OMNIUS-030,AC-WEB-058
REC-WEB-059,"Ensure configured public base path is consistent across Router, assets, API, WS, and SSE",OMNIUS-030,AC-WEB-059
REC-WEB-060,Ensure reference container uses frozen frontend dependencies and contains no build secrets,OMNIUS-030,AC-WEB-060
REC-WEB-061,Ensure tanStack Query owns remote resources and no routine Zustand mirror exists,OMNIUS-031,AC-WEB-061
REC-WEB-062,Ensure cursor pagination and filter state round-trip through typed URL parameters,OMNIUS-031,AC-WEB-062
REC-WEB-063,Ensure idempotency keys are reused only within one controlled action retry sequence,OMNIUS-031,AC-WEB-063
REC-WEB-064,"Ensure optimistic concurrency conflicts produce a typed refresh, merge, or user-resolution path",OMNIUS-031,AC-WEB-064
REC-WEB-065,Ensure server field violations map to accessible form controls and preserve a global error,OMNIUS-031,AC-WEB-065
REC-WEB-066,"Ensure upload initiation, progress, cancellation, retry, completion, quarantine, and cleanup are covered",OMNIUS-031,AC-WEB-066
REC-WEB-067,"Ensure capability, feature flag, entitlement, and permission checks remain distinct",OMNIUS-031,AC-WEB-067
REC-WEB-068,Ensure tenant switching prevents stale tenant content from becoming visible,OMNIUS-031,AC-WEB-068
REC-WEB-069,Ensure vitest and Testing Library cover SDK and React integration behavior,OMNIUS-032,AC-WEB-069
REC-WEB-070,Ensure mSW fails unhandled test requests and uses contract-derived handlers only after compatibility validation,OMNIUS-032,AC-WEB-070
REC-WEB-071,"Ensure playwright exercises login, authorization, tenancy, errors, uploads, realtime, and deep links against Axum",OMNIUS-032,AC-WEB-071
REC-WEB-072,"Ensure chromium, Firefox, and WebKit support tiers are declared and exercised",OMNIUS-032,AC-WEB-072
REC-WEB-073,"Ensure web security negative suite covers credential storage, CSRF, redirects, XSS boundary, CSP, and clickjacking",OMNIUS-032,AC-WEB-073
REC-WEB-074,"Ensure orval generation is exact-pinned, trusted-input-only, isolated, advisory-scanned, and secret-free",OMNIUS-032,AC-WEB-074
REC-WEB-075,Ensure representative routes pass automated accessibility checks and recorded manual keyboard/screen-reader review,OMNIUS-032,AC-WEB-075
REC-WEB-076,Ensure bundle and runtime performance budgets detect significant regressions,OMNIUS-032,AC-WEB-076
REC-WEB-077,Ensure all extension modules and profiles validate with the base dependency graph,OMNIUS-033,AC-WEB-077
REC-WEB-078,Ensure adding or removing web support is idempotent and preserves application-owned files,OMNIUS-033,AC-WEB-078
REC-WEB-079,"Ensure every web profile generates, installs frozen dependencies, contracts-checks, builds, tests, and smoke-tests",OMNIUS-033,AC-WEB-079
REC-WEB-080,Ensure upgrade rehearsal preserves application edits and supports at least one prior web-suite release,OMNIUS-033,AC-WEB-080
