recommendation_id,recommendation,specification,acceptance_id
REC-AI-041,Ensure published prompts are immutable versioned and schema-backed,OMNIUS-040,AC-AI-041
REC-AI-042,Ensure context assembly preserves authorization provenance and instruction boundaries,OMNIUS-040,AC-AI-042
REC-AI-043,Ensure prompt and response caches cannot cross tenant or principal boundaries,OMNIUS-040,AC-AI-043
REC-AI-044,Ensure retention and deletion cover conversations media caches eval artifacts and provider APIs,OMNIUS-040,AC-AI-044
REC-AI-045,Ensure default logs and metrics exclude prompt response and reasoning content,OMNIUS-040,AC-AI-045
REC-AI-046,Ensure untrusted documents tool output and model output cannot become privileged instructions,OMNIUS-040,AC-AI-046
REC-AI-047,Ensure context truncation and ordering are deterministic and observable,OMNIUS-040,AC-AI-047
REC-AI-048,Ensure provider prompt-cache controls remain explicit adapter capabilities,OMNIUS-040,AC-AI-048
REC-AI-049,Ensure lLM HTTP operations are complete and deterministically described by OpenAPI,OMNIUS-041,AC-AI-049
REC-AI-050,Ensure synchronous streaming and durable modes share canonical request and response contracts,OMNIUS-041,AC-AI-050
REC-AI-051,Ensure streaming transport distinguishes completion refusal cancellation and partial failure,OMNIUS-041,AC-AI-051
REC-AI-052,Ensure web SDK supports typed generation streaming jobs tool approval citations and media,OMNIUS-041,AC-AI-052
REC-AI-053,Ensure large media uses authorized scanned lifecycle-managed object references,OMNIUS-041,AC-AI-053
REC-AI-054,Ensure telemetry follows GenAI conventions without high-cardinality metric labels,OMNIUS-041,AC-AI-054
REC-AI-055,Ensure usage and audit ledgers reconcile provider tool job principal and tenant identities,OMNIUS-041,AC-AI-055
REC-AI-056,Ensure diagnostic content capture is disabled by default and access-controlled when enabled,OMNIUS-041,AC-AI-056
REC-AI-057,Ensure mCP baseline is protocol revision 2026-07-28,OMNIUS-042,AC-AI-057
REC-AI-058,Ensure mCP implementation uses official RMCP with a resolved pinned graph,OMNIUS-042,AC-AI-058
REC-AI-059,Ensure mCP request processing is stateless and self-contained,OMNIUS-042,AC-AI-059
REC-AI-060,Ensure mCP exposures derive from the shared agent capability registry,OMNIUS-042,AC-AI-060
REC-AI-061,Ensure roots Sampling Logging and HTTP plus SSE are absent from new profiles,OMNIUS-042,AC-AI-061
REC-AI-062,Ensure every MCP request maps to a canonical Principal and request context,OMNIUS-042,AC-AI-062
REC-AI-063,Ensure mCP extensions activate only after explicit negotiated support,OMNIUS-042,AC-AI-063
REC-AI-064,Ensure capability discovery is filtered by tenant principal and authorization,OMNIUS-042,AC-AI-064
REC-AI-065,Ensure server implements server/discover and advertises versions capabilities and identity,OMNIUS-043,AC-AI-065
REC-AI-066,Ensure per-request version client capability client identity and server identity metadata are validated,OMNIUS-043,AC-AI-066
REC-AI-067,Ensure tool resource prompt and template lists are deterministic and cacheable,OMNIUS-043,AC-AI-067
REC-AI-068,Ensure streamable HTTP enforces current POST headers limits security and drain semantics,OMNIUS-043,AC-AI-068
REC-AI-070,Ensure authenticated Streamable HTTP uses no session ID initialization dependency GET event endpoint or SSE resume,OMNIUS-043,AC-AI-070
REC-AI-071,Ensure subscriptions/listen is isolated from request-scoped progress streams,OMNIUS-043,AC-AI-071
REC-AI-072,Ensure unsupported revisions and initialization-era methods are rejected without downgrade,OMNIUS-043,AC-AI-072
REC-AI-073,Ensure mCP tool input and output schemas support any JSON Schema 2020-12 type,OMNIUS-044,AC-AI-073
REC-AI-074,Ensure canonical tool result maps unambiguously to structured and content representations,OMNIUS-044,AC-AI-074
REC-AI-075,Ensure tool listing and calling enforce authorization consent side-effect and confirmation policy,OMNIUS-044,AC-AI-075
REC-AI-076,Ensure resources safely support text binary MIME provenance and range/hierarchy-ready ports,OMNIUS-044,AC-AI-076
REC-AI-077,Ensure prompts derive from immutable prompt catalog revisions and validate arguments,OMNIUS-044,AC-AI-077
REC-AI-078,Ensure current results carry complete or input_required resultType,OMNIUS-044,AC-AI-078
REC-AI-079,Ensure public MCP names and schema revisions follow compatibility and deprecation policy,OMNIUS-044,AC-AI-079
REC-AI-080,Ensure internal result adapter can absorb future MCP result redesign without domain changes,OMNIUS-044,AC-AI-080
REC-AI-081,Ensure remote MCP auth follows current OAuth protected-resource and resource-indicator requirements,OMNIUS-045,AC-AI-081
REC-AI-082,Ensure issuer validation and Client ID Metadata Documents pass negative tests,OMNIUS-045,AC-AI-082
REC-AI-083,Ensure client credentials remain issuer-bound and resource-scoped,OMNIUS-045,AC-AI-083
REC-AI-084,Ensure enterprise authorization validates ID-JAG and maps delegation to ordinary policy,OMNIUS-045,AC-AI-084
REC-AI-085,Ensure identity evidence ports can adopt DPoP workload federation and token exchange,OMNIUS-045,AC-AI-085
REC-AI-086,Ensure every list read prompt and tool call enforces principal tenant and authorization,OMNIUS-045,AC-AI-086
REC-AI-087,Ensure origin proxy SSRF URL and x-mcp-header policies reject unsafe input,OMNIUS-045,AC-AI-087
REC-AI-088,Ensure consent audit and telemetry redact credentials tokens and sensitive payloads,OMNIUS-045,AC-AI-088
REC-AI-089,Ensure mRTR input_required state is bounded authenticated expiring and replay-safe,OMNIUS-046,AC-AI-089
REC-AI-090,Ensure elicitation validates schemas decline cancellation and sensitive-field policy,OMNIUS-046,AC-AI-090
REC-AI-091,Ensure tasks extension is explicit negotiated and absent when unsupported,OMNIUS-046,AC-AI-091
REC-AI-092,Ensure task creation persists durable work before returning its handle,OMNIUS-046,AC-AI-092
REC-AI-093,Ensure task get update and cancel enforce identity tenancy idempotency and state transitions,OMNIUS-046,AC-AI-093
REC-AI-094,Ensure subscriptions use exactly one selected authorized event backplane,OMNIUS-046,AC-AI-094
REC-AI-095,Ensure progress cancellation and task status retain correct request correlation,OMNIUS-046,AC-AI-095
REC-AI-096,Ensure broken response streams require a new request ID and explicit idempotency or task handle,OMNIUS-046,AC-AI-096
REC-AI-097,Ensure mCP Apps serve versioned sandboxed CSP-constrained ui resources,OMNIUS-047,AC-AI-097
REC-AI-098,Ensure experimental Skills are opt-in provenance-bearing bounded and cannot grant authority,OMNIUS-047,AC-AI-098
REC-AI-099,Ensure extension registry distinguishes stable draft experimental deprecated and removed states,OMNIUS-047,AC-AI-099
REC-AI-100,Ensure server-card preview publishes no invented conformant wire contract,OMNIUS-047,AC-AI-100
REC-AI-101,Ensure progressive-discovery preparation introduces no proprietary RPC,OMNIUS-047,AC-AI-101
REC-AI-103,Ensure identity evidence boundary can adopt standardized workload and delegated agent identity,OMNIUS-047,AC-AI-103
REC-AI-104,Ensure resource and result seams are ready for range hierarchy and result-contract evolution,OMNIUS-047,AC-AI-104
REC-AI-105,Ensure official MCP conformance suite passes every declared revision transport and extension,OMNIUS-048,AC-AI-105
REC-AI-106,Ensure mCP Inspector CLI or TUI smoke tests pass against generated profiles,OMNIUS-048,AC-AI-106
REC-AI-107,Ensure provider cassettes cover normalized and unknown output plus failure modes,OMNIUS-048,AC-AI-107
REC-AI-108,Ensure schema and stream parsers pass property and fuzz suites with resource limits,OMNIUS-048,AC-AI-108
REC-AI-109,Ensure cross-transport capability authorization matrix prevents horizontal vertical and tenant bypass,OMNIUS-048,AC-AI-109
REC-AI-110,Ensure load soak cancellation backpressure and failure tests remain bounded,OMNIUS-048,AC-AI-110
REC-AI-111,Ensure evaluation datasets record prompt route provider model judge cost and tolerances,OMNIUS-048,AC-AI-111
REC-AI-112,Ensure adversarial tests cover prompt injection exfiltration forged state malicious URIs and token confusion,OMNIUS-048,AC-AI-112
REC-AI-113,Ensure all eight AI and MCP profiles resolve build and pass their declared test matrix,OMNIUS-049,AC-AI-113
REC-AI-114,Ensure generator add remove doctor diff and upgrade operations are idempotent and preserve application files,OMNIUS-049,AC-AI-114
REC-AI-115,Ensure archive extraction has zero collisions with base and web bundles,OMNIUS-049,AC-AI-115
REC-AI-116,Ensure pinned dependency and protocol compatibility gate passes before implementation,OMNIUS-049,AC-AI-116
REC-AI-117,Ensure machine catalogs merge deterministically with unique stable identifiers,OMNIUS-049,AC-AI-117
REC-AI-118,Ensure every suite recommendation maps to an independently verifiable acceptance criterion,OMNIUS-049,AC-AI-118
REC-AI-119,Ensure provider protocol security cost and operations runbooks are complete,OMNIUS-049,AC-AI-119
REC-AI-120,Ensure new tasks remain append-only and do not restart completed prerequisite work,OMNIUS-049,AC-AI-120
